county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
Millard,624,5404,6160,2020,President,UT,8705,0.10351692103516921,0.7076392877656519
Morgan,1086,5181,6512,2020,President,UT,7808,0.1732886548587841,0.8340163934426229
Piute,86,773,871,2020,President,UT,1577,0.10011641443538999,0.5523145212428662
Rich,180,1157,1363,2020,President,UT,1604,0.13462976813762154,0.8497506234413965
Salt Lake,289906,230174,541175,2020,President,UT,786991,0.557425780649131,0.6876508117627774
San Juan,3113,3535,6878,2020,President,UT,11135,0.46826113116726836,0.6176919622810957
Sanpete,1794,10459,12631,2020,President,UT,22475,0.14641312331673875,0.5620022246941045
Sevier,1084,9052,10363,2020,President,UT,15676,0.1069455406471981,0.6610742536361317
Summit,15244,10252,26088,2020,President,UT,30181,0.5978977094446187,0.8643848779033166
Tooele,8943,21014,31518,2020,President,UT,45095,0.29852788997563173,0.6989244927375541
Uintah,1663,13261,15307,2020,President,UT,25520,0.11143125167515411,0.5998040752351097
Utah,76033,192812,284480,2020,President,UT,392602,0.2828135170823337,0.7246015048318654
Wasatch,6187,10795,17581,2020,President,UT,20963,0.3643269344011306,0.8386681295616085
Washington,20530,67294,90476,2020,President,UT,121435,0.2337629805064675,0.7450570263927204
Wayne,365,1229,1621,2020,President,UT,2079,0.22898368883312423,0.7797017797017797
Weber,40695,65949,111442,2020,President,UT,179356,0.38159671430178915,0.6213452574767502
Beaver,419,1971,2447,2022,Senate,UT,4554,0.17531380753138076,0.5373298199385156
Box Elder,4725,14434,19898,2022,Senate,UT,38544,0.24662038728534894,0.5162411789124118
Cache,15580,24588,41982,2022,Senate,UT,87868,0.38787094204341765,0.4777848591068421
Carbon,2114,4265,6728,2022,Senate,UT,16033,0.33139990594137014,0.41963450383583856
Daggett,109,377,498,2022,Senate,UT,522,0.2242798353909465,0.9540229885057471
Davis,52806,66385,123742,2022,Senate,UT,244618,0.4430368064702872,0.5058581134667114
Duchesne,912,5170,6281,2022,Senate,UT,14251,0.14995067412035515,0.44074100063153465
Emery,712,3269,4107,2022,Senate,UT,7700,0.17884953529264003,0.5333766233766234
Garfield,520,1795,2385,2022,Senate,UT,4021,0.22462203023758098,0.593136035811987
Grand,2422,1901,4644,2022,Senate,UT,7662,0.5602590793430489,0.60610806577917
Iron,3755,12923,17309,2022,Senate,UT,37384,0.22514690010792662,0.4630055638775947
