state,county,county_id,year,prim_or_gen,pres,treat,cvap,ballots_cast,ballots_cast_dem_pres,ballots_cast_rep_pres,dem_share_pres,dem_share_gov,dem_share_sen,ballots_cast_dem_gov,ballots_cast_rep_gov,turnout_share,year2,state_year
CA,Ventura,56,2022,general,0,1,573446,280935.0,,,,0.5454144197056259,,153226.0,127709.0,0.4899066346264513,4088484,CA_2022
CA,Ventura,56,2024,general,1,1,573446,387704.0,217424.0,158901.0,0.5777559290506876,,,,,0.6760950464385487,4096576,CA_2024
CA,Yolo,57,2020,general,1,0,154295,97294.0,67598.0,27292.0,0.7123827589840869,,,,,0.6305713082083023,4080400,CA_2020
CA,Yolo,57,2022,general,0,1,154295,67135.0,,,,0.6602815223058017,,44328.0,22807.0,0.4351080721993584,4088484,CA_2022
CA,Yolo,57,2024,general,1,1,154295,92621.0,61405.0,27844.0,0.6880189133771807,,,,,0.6002851680222949,4096576,CA_2024
CA,Yuba,58,2020,general,1,0,57584,29796.0,11230.0,17676.0,0.38850065730298206,,,,,0.5174353987218672,4080400,CA_2020
CA,Yuba,58,2022,general,0,0,57584,19631.0,,,,0.33284091487952727,,6534.0,13097.0,0.3409106696304529,4088484,CA_2022
CA,Yuba,58,2024,general,1,0,57584,30072.0,10725.0,18491.0,0.3670933734939759,,,,,0.5222283967768825,4096576,CA_2024
UT,Beaver,59,2020,general,1,1,4761,3100.0,357.0,2695.0,0.11697247706422019,,,,,0.6511237135055661,4080400,UT_2020
UT,Beaver,59,2024,general,1,1,4761,3253.0,394.0,2781.0,0.12409448818897638,0.10586250527203711,,,,0.6832598193656795,4096576,UT_2024
UT,Box Elder,60,2020,general,1,1,41367,27027.0,4473.0,21548.0,0.1718996195380654,,,,,0.6533468706940315,4080400,UT_2020
UT,Box Elder,60,2024,general,1,1,41367,29668.0,5274.0,22853.0,0.1875066661926263,0.1609891611257856,,,,0.7171900307008001,4096576,UT_2024
UT,Cache,61,2020,general,1,1,94311,57571.0,16650.0,38032.0,0.3044877656267145,,,,,0.6104378068305925,4080400,UT_2020
UT,Cache,61,2024,general,1,1,94311,62148.0,18718.0,39457.0,0.32175333046841426,0.2652195102140275,,,,0.6589687311130197,4096576,UT_2024
UT,Carbon,62,2020,general,1,1,15208,9369.0,2392.0,6693.0,0.26329113924050634,,,,,0.61605733824303,4080400,UT_2020
UT,Carbon,62,2024,general,1,1,15208,9610.0,2525.0,6719.0,0.27315015144958893,0.2683239364428498,,,,0.6319042609153077,4096576,UT_2024
UT,Daggett,63,2020,general,1,1,610,619.0,111.0,496.0,0.1828665568369028,,,,,1.0147540983606558,4080400,UT_2020
UT,Daggett,63,2024,general,1,1,610,557.0,101.0,443.0,0.18566176470588236,0.15550755939524838,,,,0.9131147540983606,4096576,UT_2024
UT,Davis,64,2020,general,1,1,250105,169895.0,57411.0,104135.0,0.3553848439453778,,,,,0.6792946962275844,4080400,UT_2020
UT,Davis,64,2024,general,1,1,250105,172869.0,59895.0,101293.0,0.3715847333548403,0.2957529810098631,,,,0.6911857020051578,4096576,UT_2024
UT,Duchesne,65,2020,general,1,1,13369,8524.0,843.0,7513.0,0.10088559119195788,,,,,0.6375944348866781,4080400,UT_2020
UT,Duchesne,65,2024,general,1,1,13369,9067.0,1009.0,7815.0,0.11434723481414324,0.11288571871608001,,,,0.6782107861470567,4096576,UT_2024
UT,Emery,66,2020,general,1,1,7154,4865.0,572.0,4207.0,0.11969031178070726,,,,,0.6800391389432485,4080400,UT_2020
UT,Emery,66,2024,general,1,1,7154,5077.0,603.0,4341.0,0.12196601941747573,0.12590604026845637,,,,0.7096729102599945,4096576,UT_2024
UT,Garfield,67,2020,general,1,1,4037,2732.0,514.0,2158.0,0.19236526946107785,,,,,0.6767401535793907,4080400,UT_2020
UT,Garfield,67,2024,general,1,1,4037,2857.0,541.0,2211.0,0.19658430232558138,0.17035110533159947,,,,0.7077037404012881,4096576,UT_2024
